manufacturer,rto_name,total_registrations,rank_in_zone
"SUZUKI MOTORCYCLE INDIA PVT LTD","MUMBAI (CENTRAL)",59209,1
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","MUMBAI (CENTRAL)",52244,2
"MARUTI SUZUKI INDIA LTD","MUMBAI (CENTRAL)",35659,3
"TVS MOTOR COMPANY LTD","MUMBAI (CENTRAL)",17887,4
"HYUNDAI MOTOR INDIA LTD","MUMBAI (CENTRAL)",11889,5
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","MUMBAI (CENTRAL)",10516,6
"HERO MOTOCORP LTD","MUMBAI (CENTRAL)",10025,7
"BAJAJ AUTO LTD","MUMBAI (CENTRAL)",9168,8
"KIA INDIA PRIVATE LIMITED","MUMBAI (CENTRAL)",9021,9
"TATA MOTORS LTD","MUMBAI (CENTRAL)",8326,10
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","MUMBAI (EAST)",64169,1
"SUZUKI MOTORCYCLE INDIA PVT LTD","MUMBAI (EAST)",45189,2
"MARUTI SUZUKI INDIA LTD","MUMBAI (EAST)",30530,3
"TVS MOTOR COMPANY LTD","MUMBAI (EAST)",24796,4
"BAJAJ AUTO LTD","MUMBAI (EAST)",19720,5
"HERO MOTOCORP LTD","MUMBAI (EAST)",17348,6
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","MUMBAI (EAST)",11919,7
"HYUNDAI MOTOR INDIA LTD","MUMBAI (EAST)",10832,8
"INDIA YAMAHA MOTOR PVT LTD","MUMBAI (EAST)",9217,9
"TATA MOTORS LTD","MUMBAI (EAST)",8207,10
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD","MUMBAI (WEST)",41861,1
"SUZUKI MOTORCYCLE INDIA PVT LTD","MUMBAI (WEST)",33888,2
"MARUTI SUZUKI INDIA LTD","MUMBAI (WEST)",25562,3
"BAJAJ AUTO LTD","MUMBAI (WEST)",16185,4
"TVS MOTOR COMPANY LTD","MUMBAI (WEST)",14783,5
"HYUNDAI MOTOR INDIA LTD","MUMBAI (WEST)",11251,6
"HERO MOTOCORP LTD","MUMBAI (WEST)",10068,7
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","MUMBAI (WEST)",9438,8
"TOYOTA KIRLOSKAR MOTOR PVT LTD","MUMBAI (WEST)",8762,9
"KIA INDIA PRIVATE LIMITED","MUMBAI (WEST)",8136,10
"HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD",R.T.O.BORIVALI,64028,1
"SUZUKI MOTORCYCLE INDIA PVT LTD",R.T.O.BORIVALI,30040,2
"TVS MOTOR COMPANY LTD",R.T.O.BORIVALI,29746,3
"MARUTI SUZUKI INDIA LTD",R.T.O.BORIVALI,28412,4
"BAJAJ AUTO LTD",R.T.O.BORIVALI,20224,5
"HERO MOTOCORP LTD",R.T.O.BORIVALI,14920,6
"ROYAL-ENFIELD (UNIT OF EICHER LTD)",R.T.O.BORIVALI,12696,7
"HYUNDAI MOTOR INDIA LTD",R.T.O.BORIVALI,12119,8
"INDIA YAMAHA MOTOR PVT LTD",R.T.O.BORIVALI,8534,9
"MAHINDRA & MAHINDRA LIMITED",R.T.O.BORIVALI,7536,10
